Dataset Name,Version,Sub-datasets,Total Frames,Total Episodes,Duration (seconds),Duration (hours),Duration (readable),Errors
Lerobot_v20/BC_Z,Lerobot_v20,0,0,0,0.0,0.0,0s,1
Lerobot_v20/Bridge,Lerobot_v20,0,0,0,0.0,0.0,0s,1
Lerobot_v20/RT-1,Lerobot_v20,0,0,0,0.0,0.0,0s,1
Lerobot_v21/Galaxea-Open-World-Dataset,Lerobot_v21,226,26287255,20556,1752483.67,486.801,486h 48m 3s,0
Lerobot_v21/RDT-yhq,Lerobot_v21,296,3164398,6041,105479.93,29.3,29h 17m 59s,1
Lerobot_v21/RH20T-RoboInter,Lerobot_v21,1,40755632,82894,4075563.2,1132.1009,1132h 6m 3s,0
Lerobot_v21/RoboCOIN,Lerobot_v21,439,81989920,107766,2707968.8,752.2136,752h 12m 48s,1
Lerobot_v21/RoboMindV1.0,Lerobot_v21,434,23174957,73798,772498.57,214.5829,214h 34m 58s,0
Lerobot_v21/RoboMindV2.0,Lerobot_v21,722,158825987,258486,5294199.57,1470.611,1470h 36m 39s,0
Lerobot_v21/droid_RoboInter,Lerobot_v21,1,46259014,152986,4625901.4,1284.9726,1284h 58m 21s,0
TOTAL,,2119,380457163,702527,19334095.14,5370.582,5370h 34m 55s,5
